order_id,product_id,customer_id,price,order_date,shipping_date,quantity,discount,shipping_cost,order_status,product_name,product_category,manufacturing_city,size,color,SKU,cost,launch_date,shipping_days,net_price,revenue,profit,is_returned
7498159,512461,14611,472.69,2025-05-30 16:35:07.865938,2025-05-31 16:35:07.865938,3,0.0,22.42,Processing,Product_512461,Home,Seattle,S,Red,91926380,98.66,2023-08-18 16:35:07.864399,1,472.69,1418.07,1122.09,0
9239010,140937,76374,486.36,2025-08-30 16:35:07.865980,2025-08-31 16:35:07.865980,1,0.19,23.44,Delivered,Product_140937,Electronics,Seattle,One Size,Green,73871809,83.94,2024-11-04 16:35:07.864391,1,393.95160000000004,393.95160000000004,310.01160000000004,0
3705098,562958,77426,39.31,2026-02-17 16:35:07.866001,2026-02-21 16:35:07.866001,1,0.27,11.26,Returned,Product_562958,Electronics,Seattle,S,Gray,12407626,21.14,2024-10-14 16:35:07.864286,4,28.6963,28.6963,7.5563,1
3343010,363028,47231,314.51,2025-06-05 16:35:07.866034,2025-06-12 16:35:07.866034,1,0.12,11.49,Shipped,Product_363028,Apparel,New York,S,Blue,29697412,90.13,2023-10-06 16:35:07.864310,7,276.7688,276.7688,186.6388,0
2640863,492904,85387,158.21,2025-11-30 16:35:07.866059,2025-12-03 16:35:07.866059,2,0.2,18.77,Shipped,Product_492904,Electronics,Houston,S,White,14713501,95.65,2024-03-27 16:35:07.864382,3,126.56800000000001,253.13600000000002,61.83600000000001,0
5814489,674253,90846,98.22,2025-12-16 16:35:07.866076,2025-12-17 16:35:07.866076,3,0.01,6.06,Returned,Product_674253,Electronics,New York,L,Green,66043074,66.42,2024-06-10 16:35:07.864364,1,97.2378,291.7134,92.45339999999997,1
3756166,176588,16964,356.34,2026-02-17 16:35:07.866092,2026-02-18 16:35:07.866092,4,0.01,7.12,Returned,Product_176588,Electronics,Phoenix,S,White,75094386,57.03,2025-03-03 16:35:07.864319,1,352.7766,1411.1064,1182.9863999999998,1
5828786,924197,20993,355.18,2026-04-05 16:35:07.866108,2026-04-12 16:35:07.866108,4,0.21,6.39,Delivered,Product_924197,Home,New York,L,Blue,40138388,74.21,2023-11-24 16:35:07.864252,7,280.5922,1122.3688,825.5288,0
6585209,781209,46982,286.71,2025-08-27 16:35:07.866124,2025-08-29 16:35:07.866124,3,0.17,5.19,Returned,Product_781209,Apparel,Seattle,L,Gray,34897945,55.57,2024-07-28 16:35:07.864433,2,237.96929999999998,713.9078999999999,547.1978999999999,1
4177973,492904,84983,488.06,2025-08-17 16:35:07.866140,2025-08-25 16:35:07.866140,3,0.01,6.02,Processing,Product_492904,Electronics,Houston,S,White,14713501,95.65,2024-03-27 16:35:07.864382,8,483.1794,1449.5382,1162.5882000000001,0
