order_id,product_id,customer_id,price,order_date,shipping_date,quantity,discount,shipping_cost,order_status
7498159,512461,14611,472.69,2025-05-30 16:35:07.865938,2025-05-31 16:35:07.865938,3,0.0,22.42,Processing
9239010,140937,76374,486.36,2025-08-30 16:35:07.865980,2025-08-31 16:35:07.865980,1,0.19,23.44,Delivered
3705098,562958,77426,39.31,2026-02-17 16:35:07.866001,2026-02-21 16:35:07.866001,1,0.27,11.26,Returned
3343010,363028,47231,314.51,2025-06-05 16:35:07.866034,2025-06-12 16:35:07.866034,1,0.12,11.49,Shipped
2640863,492904,85387,158.21,2025-11-30 16:35:07.866059,2025-12-03 16:35:07.866059,2,0.2,18.77,Shipped
5814489,674253,90846,98.22,2025-12-16 16:35:07.866076,2025-12-17 16:35:07.866076,3,0.01,6.06,Returned
3756166,176588,16964,356.34,2026-02-17 16:35:07.866092,2026-02-18 16:35:07.866092,4,0.01,7.12,Returned
5828786,924197,20993,355.18,2026-04-05 16:35:07.866108,2026-04-12 16:35:07.866108,4,0.21,6.39,Delivered
6585209,781209,46982,286.71,2025-08-27 16:35:07.866124,2025-08-29 16:35:07.866124,3,0.17,5.19,Returned
4177973,492904,84983,488.06,2025-08-17 16:35:07.866140,2025-08-25 16:35:07.866140,3,0.01,6.02,Processing
8829003,176588,72329,302.55,2025-12-03 16:35:07.866156,2025-12-10 16:35:07.866156,3,0.25,10.08,Processing
6629312,720230,78131,174.2,2026-01-13 16:35:07.866172,2026-01-19 16:35:07.866172,2,0.18,11.73,Returned
3124233,720230,84058,58.06,2026-03-26 16:35:07.866188,2026-03-28 16:35:07.866188,4,0.15,6.0,Delivered
4846256,938521,83572,325.72,2025-11-16 16:35:07.866204,2025-11-25 16:35:07.866204,3,0.15,12.23,Returned
7665231,938521,19068,498.37,2025-12-05 16:35:07.866220,2025-12-08 16:35:07.866220,2,0.05,17.62,Processing
4136592,781209,32498,83.28,2026-01-04 16:35:07.866239,2026-01-11 16:35:07.866239,2,0.17,19.06,Processing
